fio;inn;is_active;last_update;legal_name;main_okved_code;main_okved_name
;1215185635;TRUE;2023-09-26;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНДОР-СЕРВИС""";45.20;Техническое обслуживание и ремонт автотранспортных средств
;2404016916;TRUE;2023-07-12;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "" МИР УПАКОВКИ""";47.78.9;Торговля розничная непродовольственными товарами, не включенными в другие группировки, в специализированных магазинах
;7460016450;TRUE;2022-09-19;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОВАТЕХ""";25.99;Производство прочих готовых металлических изделий, не включенных в другие группировки
;7811576609;TRUE;2022-09-17;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТАНДАРТ""";68.10;Покупка и продажа собственного недвижимого имущества
;7802862508;TRUE;2023-02-01;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕТРПЛЮС""";41.20;Строительство жилых и нежилых зданий
;5003116154;TRUE;2023-04-20;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СИМ ТЕХНОЛОДЖИ""";46.90;Торговля оптовая неспециализированная
;5503164526;TRUE;2022-12-29;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙПАРТС""";95.12;Ремонт коммуникационного оборудования
;6501285968;TRUE;2023-10-28;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САХАЛИНСТРОЙСЕРВИС""";49.41.3;Аренда грузового автомобильного транспорта с водителем
;7801304042;TRUE;2022-09-16;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЗАГОРОДНЫЙ ДОМ""";41.20;Строительство жилых и нежилых зданий
;7841364866;TRUE;2022-11-14;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НЕВСКИЙ ТРЕСТ""";41.2;Строительство жилых и нежилых зданий
;5262222948;TRUE;2022-09-18;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИЖЕГОРОДСКАЯ КИСТЕ-ЩЕТОЧНАЯ ФАБРИКА""";32.91;Производство метел и щеток
;7448122678;TRUE;2023-10-30;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СОВРЕМЕННЫЕ ПРОЕКТНЫЕ РЕШЕНИЯ""";71.1;Деятельность в области архитектуры, инженерных изысканий и предоставление технических консультаций в этих областях
;7447172387;TRUE;2022-09-16;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ТОРГОВЫЙ ДОМ ""ТРАКТОРТЕХСНАБ""";16.10;Распиловка и строгание древесины
;5406673091;TRUE;2022-12-30;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХРИЗОЛИТ""";68.20;Аренда и управление собственным или арендованным недвижимым имуществом
;7447203130;TRUE;2022-09-16;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТК""ЛОГИКА""";46.90;Торговля оптовая неспециализированная
